"Well";"ID";"Date";"Cytometer_run";"Bacteria_AB_mL";"Algal_AB_mL";"Dry_weight_g";"Total_Vol_ml";"Total_Bacteria_AB_g";"Total_Algae_AB_g"
"1";" A01";"4";" 06.15.2022";"1";0;0;0.052;4;0;0
"2";" A02";"8";" 06.15.2022";"1";699000;62100;0.075;4;74560000;6624000
"3";" A03";"10";" 06.15.2022";"1";403000;635000;0.04;4;80600000;1.27e+08
"4";" A04";"18";" 06.15.2022";"1";80400;604000;0.074;4;8691891.89189189;65297297.2972973
"5";" A05";"20";" 06.15.2022";"1";305000;644000;0.102;4;23921568.627451;50509803.9215686
"6";" A06";"26";" 06.15.2022";"1";162000;596000;0.038;4;34105263.1578947;125473684.210526
"7";" A07";"28";" 06.15.2022";"1";967000;413000;0.08;4;96700000;41300000
"8";" A08";"30";" 06.15.2022";"1";204000;673000;0.034;4;4.8e+07;158352941.176471
"9";" A09";"32";" 06.15.2022";"1";154000;382000;0.053;4;23245283.0188679;57660377.3584906
"10";" A10";"43";" 06.15.2022";"1";84800;161000;0.01;4;67840000;128800000
"11";" A11";"44";" 06.15.2022";"1";29300;345000;0.031;4;7561290.32258064;89032258.0645161
"12";" A12";"45";" 06.15.2022";"1";439000;132000;0.02;4;175600000;52800000
"13";" B01";"46";" 06.15.2022";"1";94700;112000;0.019;4;39873684.2105263;47157894.7368421
"14";" B02";"84";" 06.15.2022";"1";221000;74400;0.021;4;84190476.1904762;28342857.1428571
"15";" B03";"86";" 06.15.2022";"1";102000;46700;0.028;4;29142857.1428571;13342857.1428571
"16";" B04";"88";" 06.15.2022";"1";171000;66500;0.025;4;54720000;21280000
"17";" B05";"90";" 06.15.2022";"1";37400;420000;0.03;4;9973333.33333333;1.12e+08
"18";" B06";"91";" 06.15.2022";"1";91400;430000;0.03;4;24373333.3333333;114666666.666667
"19";" B07";"154";" 06.15.2022";"1";42800;214000;0.017;4;20141176.4705882;100705882.352941
"20";" B08";"155";" 06.15.2022";"1";38300;141000;0.006;4;51066666.6666667;1.88e+08
"21";" B09";"156";" 06.15.2022";"1";11300;35200;0.051;4;1772549.01960784;5521568.62745098
"22";" B10";"157";" 06.15.2022";"1";70500;77300;0.021;4;26857142.8571429;29447619.047619
"23";" B11";"158";" 06.15.2022";"1";109000;654000;0.025;4;34880000;209280000
"24";" B12";"225";" 06.15.2022";"1";267000;102000;0.066;4;32363636.3636364;12363636.3636364
"25";" C01";"226";" 06.15.2022";"1";203000;145000;0.059;4;27525423.7288136;19661016.9491525
"26";" A01";"12";" 06.15.2022";"2";815000;825000;0.048;4;135833333.333333;137500000
"27";" A02";"14";" 06.15.2022";"2";212000;650000;0.042;4;40380952.3809524;123809523.809524
"28";" A03";"16";" 06.15.2022";"2";162000;968000;0.042;4;30857142.8571429;184380952.380952
"29";" A04";"22";" 06.15.2022";"2";448000;435000;0.122;4;29377049.1803279;28524590.1639344
"30";" A05";"24";" 06.15.2022";"2";185000;1270000;0.0154;4;96103896.1038961;659740259.74026
"31";" A07";"199";" 06.15.2022";"2";339000;660000;0.051;4;53176470.5882353;103529411.764706
"32";" A08";"200";" 06.15.2022";"2";154000;183000;0.033;4;37333333.3333333;44363636.3636364
"33";" A09";"201";" 06.15.2022";"2";224000;230000;0.029;4;61793103.4482759;63448275.862069
"34";" A10";"227";" 06.15.2022";"2";31400;203000;0.037;4;6789189.18918919;43891891.8918919
"35";" A01";"68";" 06.16.2022";"3";672000;149000;0.188;4;28595744.6808511;6340425.53191489
"36";" A02";"80";" 06.16.2022";"3";269000;412000;0.034;4;63294117.6470588;96941176.4705882
"37";" A03";"184";" 06.16.2022";"3";397000;269000;0.045;4;70577777.7777778;47822222.2222222
"38";" A04";"107";" 06.16.2022";"3";405000;413000;0.065;4;49846153.8461538;50830769.2307692
"39";" A05";"69";" 06.16.2022";"3";715000;70600;0.177;4;32316384.180791;3190960.4519774
"40";" A06";"182";" 06.16.2022";"3";105000;107000;0.053;4;15849056.6037736;16150943.3962264
"41";" A07";"98";" 06.16.2022";"3";357000;207000;0.025;4;114240000;66240000
"42";" A08";"94";" 06.16.2022";"3";680000;355000;0.096;4;56666666.6666667;29583333.3333333
"43";" A09";"71";" 06.16.2022";"3";903000;196000;0.122;4;59213114.7540984;12852459.0163934
"44";" A10";"191";" 06.16.2022";"3";97100;440000;0.055;4;14123636.3636364;6.4e+07
"45";" A11";"183";" 06.16.2022";"3";159000;575000;0.053;4;2.4e+07;86792452.8301887
"46";" A12";"181";" 06.16.2022";"3";82200;282000;0.126;4;5219047.61904762;17904761.9047619
"47";" B01";"139";" 06.16.2022";"3";219000;198000;0.008;4;2.19e+08;1.98e+08
"48";" B02";"92";" 06.16.2022";"3";331000;107000;0.013;4;203692307.692308;65846153.8461538
"49";" B03";"248";" 06.16.2022";"3";436000;280000;0.02;4;174400000;1.12e+08
"50";" B04";"104";" 06.16.2022";"3";275000;284000;0.059;4;37288135.5932203;38508474.5762712
"51";" B05";"105";" 06.16.2022";"3";95100;542000;0.034;4;22376470.5882353;127529411.764706
"52";" B06";"42";" 06.16.2022";"3";355000;263000;0.015;4;189333333.333333;140266666.666667
"53";" B07";"140";" 06.16.2022";"3";301000;158000;0.012;4;200666666.666667;105333333.333333
"54";" B08";"93";" 06.16.2022";"3";70000;449000;0.05;4;11200000;71840000
"55";" B09";"70";" 06.16.2022";"3";762000;345000;0.134;4;45492537.3134328;20597014.9253731
"56";" B11";"106";" 06.16.2022";"3";381000;404000;0.034;4;89647058.8235294;95058823.5294118
"57";" B12";"141";" 06.16.2022";"3";33300;180000;0.007;4;38057142.8571429;205714285.714286
"58";" C01";"81";" 06.16.2022";"3";56400;694000;0.042;4;10742857.1428571;132190476.190476
"59";" A01";"13";" 06.16.2022";"4";86800;564000;0.04;4;17360000;112800000
"60";" A02";"169";" 06.16.2022";"4";320000;268000;0.033;4;77575757.5757576;64969696.969697
"61";" A03";"120";" 06.16.2022";"4";590000;184000;0.067;4;70447761.1940299;21970149.2537313
"62";" A04";"161";" 06.16.2022";"4";52600;622000;0.037;4;11372972.972973;134486486.486486
"63";" A05";"116";" 06.16.2022";"4";134000;346000;0.048;4;22333333.3333333;57666666.6666667
"64";" A06";"197";" 06.16.2022";"4";1040000;486000;0.036;4;231111111.111111;1.08e+08
"65";" A07";"33";" 06.16.2022";"4";360000;431000;0.059;4;48813559.3220339;58440677.9661017
"66";" A08";"29";" 06.16.2022";"4";79100;662000;0.066;4;9587878.78787879;80242424.2424242
"67";" A09";"19";" 06.16.2022";"4";101000;930000;0.042;4;19238095.2380952;177142857.142857
"68";" A11";"11";" 06.16.2022";"4";46300;374000;0.052;4;7123076.92307692;57538461.5384615
