"Country","Sample","X","Y","aet_03","aet_04","aet_05","aet_06","aet_07","aet_08","aet_09","aet_10","aet_lt","def_03","def_04","def_05","def_06","def_07","def_08","def_09","def_10","def_lt","moist_03","moist_04","moist_05","moist_06","moist_07","moist_08","moist_09","moist_10","moist_lt","name","pdsi_03","pdsi_04","pdsi_05","pdsi_06","pdsi_07","pdsi_08","pdsi_09","pdsi_10","pdsi_lt","pet_03","pet_04","pet_05","pet_06","pet_07","pet_08","pet_09","pet_10","pet_lt","pr_03","pr_04","pr_05","pr_06","pr_07","pr_08","pr_09","pr_10","pr_lt","srad_03","srad_04","srad_05","srad_06","srad_07","srad_08","srad_09","srad_10","srad_lt","swe_03","swe_04","swe_05","swe_06","swe_07","swe_08","swe_09","swe_10","swe_lt","tmmn_03","tmmn_04","tmmn_05","tmmn_06","tmmn_07","tmmn_08","tmmn_09","tmmn_10","tmmn_lt","tmmx_03","tmmx_04","tmmx_05","tmmx_06","tmmx_07","tmmx_08","tmmx_09","tmmx_10","tmmx_lt","vap_03","vap_04","vap_05","vap_06","vap_07","vap_08","vap_09","vap_10","vap_lt","vpd_03","vpd_04","vpd_05","vpd_06","vpd_07","vpd_08","vpd_09","vpd_10","vpd_lt","bulk","clay","ph","soc","water","soil_moisture_03","soil_moisture_03_1","soil_moisture_05","soil_moisture_06","soil_moisture_07","soil_moisture_08","soil_moisture_09","soil_moisture_10","soil_moisture_lt","evi_03","evi_04","evi_05","evi_06","evi_07","evi_08","evi_09","evi_10","evi_lt","ndvi_03","ndvi_04","ndvi_05","ndvi_06","ndvi_07","ndvi_08","ndvi_09","ndvi_10","ndvi_lt","fpar_03","fpar_04","fpar_05","fpar_06","fpar_07","fpar_08","fpar_09","fpar_10","fpar_lt","lai_03","lai_04","lai_05","lai_06","lai_07","lai_08","lai_09","lai_10","lai_lt","gpp_03","gpp_04","gpp_05","gpp_06","gpp_07","gpp_08","gpp_09","gpp_10","gpp_lt","npp_03","npp_04","npp_05","npp_06","npp_07","npp_08","npp_09","npp_10","npp_lt","height","gHM"
"Estonia","MAPP_087A",27.552248,59.269376,1.3,56.3,85.2,89.6,71.1,91.2,48.3,29.7,39.36833333,0,0,0,26.8,66,1.9,0,0,8.163333333,84.2,116.2,116.2,70.1,38.3,37.6,43.8,76.8,90.335,"Niinsaare bog",-3.06,-3.22,-0.79,2.17,0.88,0.76,-1.51,-1.92,-0.057333333,1.3,56.3,85.2,116.4,137.1,93.1,48.3,29.7,47.53166667,38,26,118,46,41,95,57,66,56.73333333,93.5,155,211.4,235.9,231.1,170.2,101.5,45,110.3233333,139,2,0,0,0,0,0,0,29.46666667,-4.7,0.5,5.4,14.9,17,11.4,6.5,4.8,3.073333333,2.1,9.2,15.8,24.5,26.6,20.5,14,10.2,10.00666667,0.412,0.546,0.923,1.548,1.713,1.364,0.981,0.837,0.806733333,0.16,0.36,0.43,0.85,1.01,0.52,0.31,0.22,0.339833333,1030,1400,510,120,35,0.57293725,0.48214728,0.39576846,0.22734421,0.16465005,0.26164383,0.28250164,0.26449606,0.3362768,0.1249,0.2306,0.31855,0.45935,0.4794,0.55945,0.4265,0.3094,0.253795652,0.1342,0.46585,0.60925,0.80615,0.80915,0.8257,0.74435,0.6914,0.468734783,0.10375,0.445714286,0.48,0.77125,0.837142857,0.60375,0.78875,0.488571429,0.391786492,0.2,0.857142857,1.175,2.85,3.857142857,2.2,2.3625,1.257142857,1.130283224,0.000975,0.015633333,0.035675,0.058925,0.063975,0.0475,0.0284,0.0079,0.022283478,0.00075,0.014233333,0.03235,0.04845,0.0446,0.03545,0.022175,0.004733333,0.018283478,49,0.30401555
"Finland","MAPP_246A",21.05,68.883333,0,0,20.1,87.7,62.9,51,26,1,22.825,0,0,0,0,24.5,3.1,0,0,1.17,22.5,22.5,22.5,22.5,8.3,6.9,22.5,22.5,21.82,"Kilpisjärvi",3.15,3.39,3.31,3.53,1.99,1.34,1.07,2.48,2.3455,0,0,20.1,87.7,87.3,54.1,26,1,23.995,37,32,20,57,51,52,58,78,45.78333333,69,148.8,186.9,213.4,187.6,131,70,24.6,88.78666667,198,230,145,0,0,0,0,57,84.13333333,-12.3,-7.7,-3,6.2,8.5,5.4,1.3,-2.9,-4.973333333,-3.5,0.5,4.7,14.3,16.8,13.3,8.2,2.5,2.855,0.307,0.386,0.49,0.755,1.057,0.943,0.72,0.543,0.544383333,0.05,0.1,0.18,0.54,0.46,0.27,0.16,0.07,0.1615,880,1400,470,140,36,-9999,-9999,0.17277949,0.26271752,0.2187373,0.21329185,0.2215959,0.2314738,0.24554004,-0.0168,-0.0538,0.08975,0.3744,0.4356,0.328,0.1439,0.0682,0.152531818,-0.0159,-0.0531,0.2418,0.69905,0.7249,0.61995,0.29,0.072,0.304377273,0,0,0.07375,0.3525,0.59,0.58125,0.29875,0.162857143,0.26440678,0,0,0.1375,0.7375,1.528571429,1.25,0.5625,0.357142857,0.603672316,0,0,0.001225,0.024825,0.031925,0.0185,0.0035,2e-04,0.008403955,0,0,0.001125,0.021425,0.0243,0.0141,0.001925,-2e-04,0.006520904,460,0.04088571
"Finland","MAPP_256B",24.235378,61.858594,0,39,82,91.1,66.9,74.2,35.2,12.9,33.64,0,0,0,21.2,58.4,0,0,0,6.605,110,110,110,73.6,37.7,90.7,93.8,110,93.07833333,"Susimäki",1.26,0.84,2.31,2.57,1.2,1.72,1.01,1.37,-0.563833333,0,39,82,112.2,125.3,74.2,35.2,12.9,40.245,28,41,96,58,33,134,40,88,56.88333333,85.3,151.6,201.7,225.3,219.1,157.6,92.9,37.5,102.8016667,202,26,0,0,0,0,0,0,55.9,-6.8,-2.2,2.9,12.2,13.6,8.3,3.4,3.4,0.676666667,1.6,7.3,14.9,23.6,24.8,18.5,11.6,9.1,9.028333333,0.41,0.509,0.741,1.295,1.383,1.262,0.88,0.88,0.73465,0.12,0.26,0.49,0.88,0.97,0.36,0.2,0.09,0.289,840,600,420,135,36,0.48142216,0.43670598,0.65293574,0.65293574,0.61256087,0.65293574,0.6427259,0.6431731,0.5792474,0.3038,0.2439,0.2724,0.33085,0.38105,0.3735,0.23715,0.2723,0.228939474,0.43875,0.7147,0.7082,0.7957,0.73955,0.8071,0.58765,0.7633,0.566779825,0.44875,0.418571429,0.555,0.81625,0.758571429,0.4975,0.545,0.225714286,0.438583878,0.6625,0.9,1.4875,3.2625,3.057142857,1.3375,1.1625,0.8,1.254684096,0.003325,0.016033333,0.03355,0.072925,0.0606,0.034025,0.010975,0.0024,0.020226522,0.001675,0.014166667,0.02865,0.05055,0.041975,0.02585,0.00855,0.000433333,0.015593913,181,0.28106087
"France","MAPP_246C",6.960435,48.009105,23.3,50.7,70.2,96.5,103.9,85.4,60.3,41.5,52.10666667,0,0,0,0,0,1.1,7.6,0,6.753333333,53.6,53.6,53.6,53.6,53.6,51.8,39.4,53.6,43.56333333,"Tourbière de Machais",-2.04,-2.5,-1.2,-0.85,2.17,1.59,0.88,-1.06,-2.3965,23.3,50.7,70.2,96.5,103.9,86.4,67.9,41.5,58.86,98,56,203,157,193,88,51,94,116.55,129.1,181.8,210.3,238.8,233,187.9,150.9,96.8,142.7666667,68,12,0,0,0,0,0,0,21.93333333,-2.4,-1.8,1.6,9.8,9.2,8.6,8.4,3.6,3.463333333,5,6.6,10.4,18.7,18.2,17.6,16.3,10.4,10.93833333,0.505,0.495,0.731,1.29,1.232,1.184,1.086,0.806,0.79095,0.19,0.26,0.24,0.4,0.4,0.38,0.4,0.22,0.325166667,890,1200,500,75,33,0.34140545,0.2593426,0.33768803,0.2911942,0.32646596,0.26981458,0.22951534,0.2759788,0.28192362,0.1729,0.3253,0.32015,0.6412,0.47585,0.4468,0.41805,0.3789,0.349172174,0.37055,0.6999,0.55705,0.82865,0.89605,0.93145,0.84625,0.7795,0.658424348,0.3375,0.415714286,0.56625,0.51125,0.585714286,0.6375,0.64375,0.745714286,0.491328976,0.675,1.042857143,2.2875,2.275,3.1,2.8875,2.2625,2.071428571,1.973202614,0.011425,0.017833333,0.029075,0.050225,0.04525,0.064825,0.035375,0.017766667,0.027194783,0.010125,0.0161,0.0259,0.0366,0.03435,0.0476,0.026725,0.015,0.020178261,984,0.42188126
"Sweden","MAPP_001",14.010833,57.298333,22.8,56.5,77.8,72.5,105.7,79.4,45.7,22,39.25333333,0,3.3,0,42,4.9,0,0,0,8.925,72.7,67,72.7,26.7,24.6,49.5,72.7,72.7,52.78833333,"Store Mosse",-1.98,-2.09,1.34,1.02,1.26,1.69,1.9,2.62,-0.29,22.8,59.8,77.8,114.5,110.6,79.4,45.7,22,48.17833333,41,38,108,28,109,110,99,105,67.6,98.6,162.5,209.7,224.4,214,168.4,109.5,54.6,113.58,15,0,0,0,0,0,0,0,16.3,-1.2,-0.7,4.5,12.1,13.6,9.5,8.1,4.8,3.621666667,6,8.6,15,22.3,23.9,19.2,16.1,11.2,11.335,0.577,0.474,0.915,1.234,1.621,1.334,1.169,0.956,0.865033333,0.17,0.38,0.36,0.83,0.65,0.38,0.29,0.14,0.307166667,970,1600,560,85,32,0.3530475,0.44514275,0.45495233,0.36844233,0.37176946,0.41108483,0.42208058,0.4859513,0.41535872,0.227,0.20425,0.27405,0.4453,0.42305,0.38175,0.28795,0.2136,0.246605217,0.51005,0.52715,0.58385,0.7378,0.75865,0.7214,0.547,0.573,0.497245217,0.44375,0.515714286,0.34,0.60625,0.524285714,0.62125,0.4475,0.492857143,0.388235294,0.675,1.085714286,0.775,1.8,1.528571429,2.05,0.9875,0.971428571,0.930283224,0.008175,0.018166667,0.02955,0.052775,0.051025,0.036825,0.01465,0.0066,0.019286522,0.006875,0.016233333,0.025775,0.04345,0.038875,0.03,0.01245,0.004766667,0.015784783,165,0.2513541
"Sweden","MAPP_002",14.010833,57.298333,22.8,56.5,77.8,72.5,105.7,79.4,45.7,22,39.25333333,0,3.3,0,42,4.9,0,0,0,8.925,72.7,67,72.7,26.7,24.6,49.5,72.7,72.7,52.78833333,"Store Mosse",-1.98,-2.09,1.34,1.02,1.26,1.69,1.9,2.62,-0.29,22.8,59.8,77.8,114.5,110.6,79.4,45.7,22,48.17833333,41,38,108,28,109,110,99,105,67.6,98.6,162.5,209.7,224.4,214,168.4,109.5,54.6,113.58,15,0,0,0,0,0,0,0,16.3,-1.2,-0.7,4.5,12.1,13.6,9.5,8.1,4.8,3.621666667,6,8.6,15,22.3,23.9,19.2,16.1,11.2,11.335,0.577,0.474,0.915,1.234,1.621,1.334,1.169,0.956,0.865033333,0.17,0.38,0.36,0.83,0.65,0.38,0.29,0.14,0.307166667,970,1600,560,85,32,0.3530475,0.44514275,0.45495233,0.36844233,0.37176946,0.41108483,0.42208058,0.4859513,0.41535872,0.227,0.20425,0.27405,0.4453,0.42305,0.38175,0.28795,0.2136,0.246605217,0.51005,0.52715,0.58385,0.7378,0.75865,0.7214,0.547,0.573,0.497245217,0.44375,0.515714286,0.34,0.60625,0.524285714,0.62125,0.4475,0.492857143,0.388235294,0.675,1.085714286,0.775,1.8,1.528571429,2.05,0.9875,0.971428571,0.930283224,0.008175,0.018166667,0.02955,0.052775,0.051025,0.036825,0.01465,0.0066,0.019286522,0.006875,0.016233333,0.025775,0.04345,0.038875,0.03,0.01245,0.004766667,0.015784783,165,0.2513541
"Sweden","MAPP_003",14.010833,57.298333,22.8,56.5,77.8,72.5,105.7,79.4,45.7,22,39.25333333,0,3.3,0,42,4.9,0,0,0,8.925,72.7,67,72.7,26.7,24.6,49.5,72.7,72.7,52.78833333,"Store Mosse",-1.98,-2.09,1.34,1.02,1.26,1.69,1.9,2.62,-0.29,22.8,59.8,77.8,114.5,110.6,79.4,45.7,22,48.17833333,41,38,108,28,109,110,99,105,67.6,98.6,162.5,209.7,224.4,214,168.4,109.5,54.6,113.58,15,0,0,0,0,0,0,0,16.3,-1.2,-0.7,4.5,12.1,13.6,9.5,8.1,4.8,3.621666667,6,8.6,15,22.3,23.9,19.2,16.1,11.2,11.335,0.577,0.474,0.915,1.234,1.621,1.334,1.169,0.956,0.865033333,0.17,0.38,0.36,0.83,0.65,0.38,0.29,0.14,0.307166667,970,1600,560,85,32,0.3530475,0.44514275,0.45495233,0.36844233,0.37176946,0.41108483,0.42208058,0.4859513,0.41535872,0.227,0.20425,0.27405,0.4453,0.42305,0.38175,0.28795,0.2136,0.246605217,0.51005,0.52715,0.58385,0.7378,0.75865,0.7214,0.547,0.573,0.497245217,0.44375,0.515714286,0.34,0.60625,0.524285714,0.62125,0.4475,0.492857143,0.388235294,0.675,1.085714286,0.775,1.8,1.528571429,2.05,0.9875,0.971428571,0.930283224,0.008175,0.018166667,0.02955,0.052775,0.051025,0.036825,0.01465,0.0066,0.019286522,0.006875,0.016233333,0.025775,0.04345,0.038875,0.03,0.01245,0.004766667,0.015784783,165,0.2513541
"Russia","MAPP_004",34.009384,62.314951,0,46.5,83.4,74.3,46.1,77.1,33,20.6,34.13166667,0,0,2.3,47.2,80.2,0,0,0,4.706666667,82.2,82.2,78.2,30.2,20.9,43.9,60.8,82.2,69.055,"Kivach",0.99,-0.84,1.08,-1.01,-2.32,-1.93,-2.2,-2.16,0.764166667,0,46.5,85.7,121.4,126.4,77.1,33,20.6,38.83833333,41,27,74,28,39,105,53,70,56.5,84.2,152.3,200.9,229.2,215.9,158.8,86.3,35.4,101.87,177,10,0,0,0,0,0,0,59.81666667,-7.7,-0.8,4.9,14.1,15.4,10.7,4,2.9,0.56,-0.2,7.4,14.3,23.3,24.3,18.7,10.8,7.8,7.611666667,0.337,0.486,0.763,1.207,1.409,1.335,0.9,0.729,0.693416667,0.14,0.32,0.49,1.04,0.99,0.39,0.16,0.18,0.287166667,860,1100,560,115,35,0.58439547,0.54395676,0.6483219,0.62489635,0.6030133,0.6316946,0.6359299,0.62428373,0.56114846,0.05745,0.28455,0.3269,0.4532,0.4483,0.452,0.22415,0.3184,0.245473636,0.07235,0.54305,0.61315,0.71005,0.69645,0.80115,0.41815,0.6618,0.425250909,0.10375,0.365714286,0.54625,0.8175,0.78,0.75625,0.58,0.354285714,0.364509804,0.2,0.6,1.6625,3.425,4.157142857,2.675,1.4,0.728571429,1.200217865,0.000275,0.0105,0.033175,0.080475,0.0658,0.04615,0.012425,0.002466667,0.018416087,0.000175,0.009666667,0.0291,0.062375,0.04895,0.036825,0.0102,0.001166667,0.015182174,67,0.2020922
"Russia","MAPP_005",34.00927,62.314898,0,46.5,83.4,74.3,46.1,77.1,33,20.6,34.13166667,0,0,2.3,47.2,80.2,0,0,0,4.706666667,82.2,82.2,78.2,30.2,20.9,43.9,60.8,82.2,69.055,"Kivach",0.99,-0.84,1.08,-1.01,-2.32,-1.93,-2.2,-2.16,0.764166667,0,46.5,85.7,121.4,126.4,77.1,33,20.6,38.83833333,41,27,74,28,39,105,53,70,56.5,84.2,152.3,200.9,229.2,215.9,158.8,86.3,35.4,101.87,177,10,0,0,0,0,0,0,59.81666667,-7.7,-0.8,4.9,14.1,15.4,10.7,4,2.9,0.56,-0.2,7.4,14.3,23.3,24.3,18.7,10.8,7.8,7.611666667,0.337,0.486,0.763,1.207,1.409,1.335,0.9,0.729,0.693416667,0.14,0.32,0.49,1.04,0.99,0.39,0.16,0.18,0.287166667,860,1100,560,115,35,0.58439547,0.54395676,0.6483219,0.62489635,0.6030133,0.6316946,0.6359299,0.62428373,0.56114846,0.05745,0.28455,0.3269,0.4532,0.4483,0.452,0.22415,0.3184,0.245473636,0.07235,0.54305,0.61315,0.71005,0.69645,0.80115,0.41815,0.6618,0.425250909,0.10375,0.365714286,0.54625,0.8175,0.78,0.75625,0.58,0.354285714,0.364509804,0.2,0.6,1.6625,3.425,4.157142857,2.675,1.4,0.728571429,1.200217865,0.000275,0.0105,0.033175,0.080475,0.0658,0.04615,0.012425,0.002466667,0.018416087,0.000175,0.009666667,0.0291,0.062375,0.04895,0.036825,0.0102,0.001166667,0.015182174,67,0.2020922
"Russia","MAPP_006",34.00966,62.314803,0,46.5,83.4,74.3,46.1,77.1,33,20.6,34.13166667,0,0,2.3,47.2,80.2,0,0,0,4.706666667,82.2,82.2,78.2,30.2,20.9,43.9,60.8,82.2,69.055,"Kivach",0.99,-0.84,1.08,-1.01,-2.32,-1.93,-2.2,-2.16,0.764166667,0,46.5,85.7,121.4,126.4,77.1,33,20.6,38.83833333,41,27,74,28,39,105,53,70,56.5,84.2,152.3,200.9,229.2,215.9,158.8,86.3,35.4,101.87,177,10,0,0,0,0,0,0,59.81666667,-7.7,-0.8,4.9,14.1,15.4,10.7,4,2.9,0.56,-0.2,7.4,14.3,23.3,24.3,18.7,10.8,7.8,7.611666667,0.337,0.486,0.763,1.207,1.409,1.335,0.9,0.729,0.693416667,0.14,0.32,0.49,1.04,0.99,0.39,0.16,0.18,0.287166667,860,1100,560,115,35,0.58439547,0.54395676,0.6483219,0.62489635,0.6030133,0.6316946,0.6359299,0.62428373,0.56114846,0.05745,0.28455,0.3269,0.4532,0.4483,0.452,0.22415,0.3184,0.245473636,0.07235,0.54305,0.61315,0.71005,0.69645,0.80115,0.41815,0.6618,0.425250909,0.10375,0.365714286,0.54625,0.8175,0.78,0.75625,0.58,0.354285714,0.364509804,0.2,0.6,1.6625,3.425,4.157142857,2.675,1.4,0.728571429,1.200217865,0.000275,0.0105,0.033175,0.080475,0.0658,0.04615,0.012425,0.002466667,0.018416087,0.000175,0.009666667,0.0291,0.062375,0.04895,0.036825,0.0102,0.001166667,0.015182174,67,0.2020922
